filename,movie_name,sentiment,key_themes,named_entities,emotional_tone,star_rating
1000_3.txt,N/A,Negative,Plot;Acting,N/A,Disappointment,N/A
100_4.txt,N/A,Negative,Acting;Plot,Adrian Paul (Actor);,Disappointment,N/A
104_1.txt,N/A,Negative,Plot;Acting;Cinematography,N/A,Frustration,N/A
105_3.txt,The Forgotten (AKA: Don't Look In The Basement),Negative,Acting;Plot;Cinematography,N/A,Disappointment,N/A
106_3.txt,Dr. Stevens,Negative,Plot;Acting;Cinematography,Micheal Harvey (Actor); Hugh Feagin (Actor); Camilla Carr (Actor); Gene Ross (Actor); Rosie Holotik (Actor); Annabelle Weenick (Actor); Rhea MacAdams (Actor); S.f. Brownrigg (Director); Tim Pope (Writer),Frustration,N/A
119_3.txt,N/A,Negative,Acting;Plot;N/A,Jean-Claude Van Damme (Actor); Isaac Florentine (Director); N/A,Disappointment,N/A
11_3.txt,Darling Lili,Negative,Acting;Plot;Soundtrack,Julie Andrews (Actor); Blake Edwards (Director); Rock Hudson (Actor); William Peter Blatty (Writer),Disappointment,1
120_2.txt,N/A,Negative,Plot;Acting;Cinematography,Jean-Claude Van Damme (Actor); Scott Adkins (Actor),Disappointment,N/A
122_4.txt,The Shepherd : Border Patrol,Negative,Acting;Plot;Cinematography,Jean-Claude Van Damme (Actor); N/A (Director); N/A (Studio),Disappointment,N/A
124_2.txt,The Shepherd,Negative,Acting;Plot;Cinematography,Jean Claude Van Damme (Actor); Stephen Lord (Actor); Isaac Florentine (Director),Disappointment,N/A
126_4.txt,N/A,Neutral,Plot;Acting;N/A,Van Damme (Actor);N/A;N/A,Satisfaction,4
139_4.txt,Sword in the Moon,Negative,Cinematography;Plot;Acting,Cho Jae Hyun (Actor); Choi (Actor); Shi Yeong (Actor),Disappointment,N/A
13_1.txt,N/A,Negative,Plot;Acting,Julie; Blake; Rock,Frustration,N/A
140_2.txt,Black Emanuelle,Negative,Cinematography;Acting;Plot,Laura Gemser (Actor); Karin Schubert (Actor); Albert Thomas (Director),Disappointment,N/A
141_1.txt,N/A,Negative,Acting;Plot;Soundtrack,Gemser (Actor);Warner? (Studio),Disappointment,N/A
143_4.txt,Gen-Y Cops The Next Generation,Negative,Plot;Acting;Special Effects,Paul Rudd (Actor); N/A; N/A,Disappointment,4
145_1.txt,N/A,Negative,Acting;Plot,Edison Chen (Actor),Frustration,N/A
158_1.txt,N/A,Negative,Acting;Plot,Jane Fonda (Actor);,Frustration,N/A
15_2.txt,Fire,Negative,Acting;Plot;Cinematography,Deepa Mehta (Director); Nandita Das (Actor); Shabana Azmi (Actor),Disappointment,N/A
161_3.txt,The Edge of Love,Negative,Cinematography;Acting;Plot,Keira Knightley (Actor); Sienna Miller (Actor); John Maybury (Director); N/A,Frustration,N/A
163_1.txt,N/A,Negative,Plot;Acting,Keira Knightley (Actor); Cillian Murphy (Actor),Frustration,N/A
165_4.txt,N/A,Negative,Plot;Acting;N/A,Keira Knightley (Actor); Dylan Thomas (Actor),Frustration,N/A
167_2.txt,N/A,Negative,Acting;Plot;Cinematography,N/A,Frustration,N/A
178_2.txt,Mondovino,Negative,Cinematography;Plot,N/A,Frustration,2/10
17_3.txt,Thirst,Negative,Plot;Acting;Cinematography,Park Chan-wook (Director); Song Kang-ho (Actor); Kim Ok-vin (Actor),Disappointment,N/A
183_4.txt,Aab Tak Chhappan,Negative,Plot;Acting,Daya Nayak (Actor); Ram Gopal Varma (Director),Frustration,N/A
185_4.txt,N/A,Negative,Acting;Plot;Fighting,Mathias Hues (Actor),Frustration,N/A
187_1.txt,The Last Crusade,Negative,Acting;Plot;N/A,Sean Connery (Actor); Harrison Ford (Actor); Steven Spielberg (Director),Frustration,N/A
201_2.txt,N/A,Negative,Acting;Plot;Production,Flex (Actor); Tangi (Actor),Frustration,N/A
202_4.txt,N/A,Negative,Acting;Plot;Cinematography,Matt Damon (Actor); Lawrence Fishbourne (Actor); Jean Reno (Actor),Disappointment,N/A
203_3.txt,Armored,Negative,Plot;Acting;N/A,Columbus Short (Actor); Matt Dillon (Actor); Jean Reno (Actor); Laurence Fishburne (Actor); N/A,Disappointment,N/A
207_3.txt,N/A,Negative,Soundtrack;Acting;Plot,Matt Dillon (Actor); N/A (Director); N/A (Studio),Frustration,N/A
218_3.txt,N/A,Negative,Acting;Plot,Laurence Fishbourne (Actor); Columbus Short (Actor); Milo Ventimiglia (Actor),Disappointment,N/A
223_3.txt,Armored,Negative,Plot;Acting,Columbus Short (Actor); Matt Dillon (Actor); Lawrence Fishbourne (Actor); Jean Reno (Actor); James V. Simpson (Screenwriter),Frustration,3/10
225_3.txt,Fool for Love,Negative,Acting;Soundtrack;Plot,Sam Shepard (Actor); Robert Altman (Director); N/A,Disappointment,N/A
227_1.txt,N/A,Negative,Acting;Plot;Cinematography,Bruce Willis (Actor); N/A (Director); N/A (Studio),Frustration,N/A
238_1.txt,The Robot vs. the Aztec Mummy,Negative,Plot;Acting,N/A,Frustration,N/A
239_2.txt,N/A,Negative,Plot;Acting,MST3K (Show); Captain Cody (Character),Disappointment,N/A
240_4.txt,N/A,Positive,Plot;Acting,N/A,Nostalgia,N/A
242_3.txt,The Mummy,Positive,Plot;Acting;Dialogue,N/A,Frustration,N/A
244_2.txt,N/A,Negative,Plot;Acting;Cinematography,Luis Aceves Castaneda (Actor); Rafael Portillo (Director); Alfredo Salazar (Writer); Guillermo Calderon (Writer),Disappointment,N/A
246_2.txt,Android vs. the Aztec Mummy,Negative,Plot;Cinematography,N/A,Frustration,N/A
258_1.txt,The Wedding Singer Remake,Negative,Plot;Acting,Adam Sandler (Actor); Drew Barrymore (Actor); N/A,Frustration,N/A
259_2.txt,Aa Meri Life Bana De,Negative,Acting;Plot;Soundtrack,Salman Khan (Actor); Rani Mukerji (Actor); Pooja Batra (Actor); Jackie Shroff (Actor); Kashmira Shah (Actor); Raveena Tandon (Actor); Mohnish Behl (Actor),Frustration,N/A
260_1.txt,Bandhan,Negative,Acting;Plot;Soundtrack,Salman Khan (Actor); Jackie Shroff (Actor); Rani Mukherjee (Actor); Pooja Bhatra (Actor); Kashmira Shah (Actor); Mohinish Behl (Actor); Inder Kumar (Actor); Shakti Kapoor (Actor); K Murli Mohan Rao (Director),Disappointment,N/A
262_1.txt,N/A,Negative,Acting;Plot;Soundtrack,Larry Miller (Actor);N/A;N/A,Frustration,N/A
264_1.txt,Mishima: A Life in Four Chapters,Negative,Acting;Plot;Soundtrack,Paul Schrader (Director); Philip Glass (Composer); Yukio Mishima (Actor),Frustration,N/A
266_4.txt,Oceans 12,Negative,Acting;Plot;Cinematography,Brad Pitt (Actor); Catherine Zeta-Jones (Actor); George Clooney (Actor); Matt Damon (Actor); Steven Soderbergh (Director),Disappointment,4/10
267_1.txt,Ocean's Twelve,Negative,Plot;Acting,N/A,Frustration,N/A
279_1.txt,Ocean's 12,Negative,Acting;Plot;Cinematography,Julia Roberts (Actor); Catherine Zeta-Jones (Actor); Matt Damon (Actor); George Clooney (Actor); Brad Pitt (Actor); Bruce Willis (Actor),Frustration,N/A
280_1.txt,Ocean's 12,Negative,Acting;Plot;Cinematography,Matt Damon (Actor); Brad Pitt (Actor); George Clooney (Actor); Steven Soderbergh (Director); Warner Bros (Studio),Frustration,N/A
